ICAV Name,Reg Date,Reg Number,In Liquidation,ETF Related
Bluebell Active Equity Master Fund ICAV (in liquidation),2019-07-25,,Yes,
Bluebell Active Equity Feeder Fund ICAV (in liquidation),2019-07-25,C195683,Yes,
Ambienta ICAV,2019-07-25,C195780,,
VICOF II QIAIF ICAV,2019-08-13,C196683,,
Elm Long Income ICAV,2019-08-13,C196665,,
BG Eire ICAV,2019-08-20,,,
Ownership Capital UCITS ICAV (in liquidation),2019-08-23,,Yes,
EFI Lake Geneva Ventures ICAV,2019-08-23,C196777,,
Bain Capital I ICAV,2019-08-30,C196714,,
The Vestry ICAV,2019-09-06,C196912,,
Beresford Funds ICAV,2019-09-18,C45619,,
Tai Long Wan Feeder ICAV,2019-09-23,C397883,,
BlackRock Infrastructure Funds ICAV,2019-09-24,C399207,,
SSG Credit Strategies V ICAV,2019-10-01,C399249,,
SSG Credit Strategies IV ICAV,2019-10-01,C399248,,
The Lunnox ICAV,2019-10-01,C399282,,
"Connor, Clark & Lunn UCITS ICAV",2019-10-07,C400076,,
Epoch ICAV,2019-10-09,C399220,,
Blue Whale Investment Funds ICAV,2019-10-10,C400123,,
Devonian II ICAV,2019-10-10,,,
Royalty Pharma Investments 2019 ICAV,2019-10-10,C400096,,
Credit Suisse Index Fund (IE) ETF ICAV (in liquidation),2019-10-11,C401941,Yes,Yes
HPEIF ICAV,2019-10-11,C400101,,
HPREF ICAV,2019-10-11,C400102,,
Uni Immo Ireland III ICAV,2019-10-17,C400105,,
DIM Ireland ICAV,2019-10-21,C400080,,
Lingotto Alternative Investments Feeder Fund ICAV,2019-10-22,,,
Lingotto Alternative Investments Master Fund ICAV,2019-10-22,C400562,,
Vita Settlements Fund 3B ICAV,2019-11-04,C402075,,
Vita Settlements Fund 4 ICAV,2019-11-04,C402073,,
CQS Global Funds II ICAV,2019-11-05,C402165,,
Tresidor Europe Credit Opportunities Master Fund ICAV,2019-11-05,C402059,,
Tresidor Europe Credit Opportunities Feeder Fund ICAV,2019-11-05,,,
Kirakka ICAV,2019-11-12,C402077,,
Prescient Global Funds ICAV,2019-11-13,C72212,,
Prescient Global Qualified Investor Fund ICAV,2019-11-13,C402717,,
Emso Shamrock Fund ICAV,2019-11-18,C402351,,
AG International Investment Opportunities Platform ICAV,2019-11-19,C402850,,
Sagard Healthcare Royalty Partners ICAV,2019-11-19,C405028,,
GaoTeng Fund ICAV (in liquidation),2019-11-21,C405086,Yes,
Interlaken ICAV,2019-11-21,C402163,,
Helikon Long Short Equity Fund ICAV,2019-11-22,C405007,,
Helikon Long Short Equity Fund Master ICAV,2019-11-22,C405011,,
Galtymore Partners Capital Fund ICAV,2019-11-29,C405124,,
Sequoia Venture ICAV,2019-11-29,C417639,,
Quantica UCITS Funds ICAV,2019-12-02,C417680,,
Solas Sustainable Energy Fund,2019-12-03,,,
Sagard Healthcare Royalty Partners II ICAV (in liquidation),2019-12-06,C417706,Yes,
TD ICAV,2019-12-12,C417775,,
Clarus IV ICAV,2019-12-17,C417768,,
Edison ICAV,2019-12-17,C417769,,
BXLS V ICAV,2019-12-19,,,
SSG Credit Strategies VI ICAV (in liquidation),2020-01-07,C417678,Yes,
SSG Credit Strategies VII ICAV,2020-01-07,C417679,,
Vantage Global Funds ICAV,2020-01-09,C418140,,
SphereInvest Global UCITS ICAV,2020-01-10,,,
CIFC Credit Funds ICAV,2020-01-23,C422393,,
Monroe Capital Private Credit Versailles ICAV,2020-01-23,C422047,,
Basalt ICAV,2020-01-27,C422469,,
Catalyst International UCITS ICAV,2020-01-28,,,
Sarofim ICAV,2020-02-04,,,
GCP Equity Ireland ICAV,2020-02-10,C422581,,
Progressive Capital Investments ICAV,2020-02-14,C422862,,
Iguana Investments ICAV,2020-02-24,C425102,,
Brummer Umbrella ICAV,2020-02-24,C425104,,
Acer Tree Funds ICAV,2020-03-10,C425185,,
Drakai Systematic Credit ICAV,2020-03-10,C423581,,
Premium Selection QIAIF ICAV,2020-03-10,C425229,,
G Squared Opportunities ICAV,2020-03-24,C425606,,
Focused Investment Property ICAV,2020-03-25,C427054,,
SWM Global Funds ICAV,2020-03-31,C425144,,
Grundbesitz Europa ICAV,2020-03-31,,,
VG US Private Debt Funds ICAV,2020-04-07,C427715,,
Sitka ICAV,2020-04-07,C427725,,
Clover Investments ICAV,2020-04-07,C427558,,
Longhouse ICAV,2020-04-23,C430198,,
BCPE Global ICAV,2020-04-23,C429930,,
Private Markets Credit Platform (Ireland) ICAV,2020-04-23,C428240,,
WisdomTree Issuer ICAV,2020-05-06,C132923,,
ING World ICAV,2020-05-06,C430456,,
Premium Selection UCITS ICAV,2020-05-14,C431615,,
BTO Bodyguard – T Holdings ICAV,2020-05-14,C430361,,
BXLS Yield ICAV,2020-05-14,C430360,,
TwentyFour ICAV,2020-05-15,C430450,,
Skerryvore ICAV,2020-05-15,C431696,,
Southeastern European Concentrated Opportunities ICAV (in,2020-05-19,,,
Multaque Funds ICAV,2020-05-19,C430484,,
BSNY Investments ICAV,2020-05-19,C430495,,
GSO Whitney ICAV,2020-05-19,C430493,,
CRI Ireland ICAV,2020-05-26,C432499,,
BC Partners IX ICAV (in Liquidation),2020-05-29,C432570,Yes,
BC Partners ICAV (prev BC Partners X ICAV),2020-05-29,C432571,,
Expert Investor X ICAV (in liquidation),2020-05-29,C432634,Yes,
Marcho Partners Long Master Fund ICAV,2020-06-10,C432629,,
Marcho Partners Long Feeder Fund ICAV,2020-06-10,C432631,,
Cairn Capital UCITS Funds ICAV,2020-06-25,C433458,,
Harp Investments ICAV,2020-06-25,C433439,,
Waystone ETF ICAV,2020-06-25,C432491,,Yes
AMUNDI REAL ESTATE FUND ONE ICAV,2020-06-25,C433843,,
Infinity Funds ICAV,2020-07-02,C433377,,
PGIM Fixed Income Alternatives Master Fund ICAV,2020-07-03,C433830,,
Cedar Real Estate Investments ICAV,2020-07-10,C433839,,
FinEx Funds ICAV,2020-07-13,C55449,,
FinEx Physcially Backed Funds ICAV,2020-07-13,C108592,,
Amundi Fund Solutions ICAV,2020-07-16,C434076,,
WHEB Asset Management Funds ICAV,2020-07-16,C435370,,
Waystone Solutions ICAV,2020-07-16,C435380,,
BlackRock Solutions Funds ICAV,2020-07-20,C435447,,
Global X ETFs ICAV,2020-07-20,C435449,,
MARSHAM FUNDS ICAV,2020-07-20,C435419,,
SSG Credit Strategies VIII ICAV,2020-07-24,C434069,,
Varagon Capital Credit Strategies ICAV,2020-08-24,C436654,,
Blantyre Special Situations Fund II ICAV,2020-08-24,C436904,,
TCIM ICAV,2020-08-24,C436693,,
BTL ICAV,2020-09-02,C436653,,
GCP Ireland ICAV,2020-09-02,C438034,,
Regnan Umbrella Fund ICAV (in liquidation),2020-09-02,C438057,Yes,
AQRM Umbrella ICAV,2020-09-04,C438165,,
UBP Innocap Selection ICAV,2020-09-25,C438171,,
AlbaCore Capital Group ICAV,2020-09-25,C439319,,
AlbaCore Capital Group Feeder ICAV,2020-09-25,C439330,,
UAI ICAV,2020-10-07,C439782,,
Citadel Global Fixed Income Fund (Ireland) II ICAV (in,2020-10-13,C439830,,
Turtle Creek UCITS ICAV,2020-10-15,C440873,,
RTW Royalty ICAV,2020-10-15,C440090,,
Rise QIAIF Investments ICAV,2020-10-15,C440136,,
SSG Credit Strategies IX ICAV,2020-10-29,C441217,,
SSG Credit Strategies X ICAV,2020-10-29,C441218,,
AFP UCITS ICAV,2020-10-29,C441480,,
Parus ICAV,2020-10-29,C439827,,
Seamróg Fund ICAV,2020-11-20,C441506,,
TCP PE IV ICAV,2020-11-26,C443074,,
TCP PE V ICAV,2020-11-26,C443075,,
TCP TSO I ICAV,2020-11-26,C443076,,
TCP TSO II ICAV,2020-11-26,C443080,,
Kaon Investment Fund ICAV,2020-12-02,C443099,,
EJF European Opportunities ICAV (in liquidation),2020-12-07,C443614,Yes,
Record UCITS ICAV,2020-12-07,C443555,,
Alternative Investments Access ICAV,2020-12-11,C443580,,
Machina Neutron Feeder Fund ICAV,2020-12-15,C443685,,
Machina Neutron Master Fund ICAV,2020-12-15,C443686,,
SSG Credit Strategies XI ICAV,2020-12-15,C443519,,
SSG Credit Strategies XII ICAV,2020-12-15,C443741,,
Variety Capital ICAV,2021-01-06,C445370,,
First Eagle Funds (Ireland) ICAV,2021-01-06,C445369,,
Lahinch Investments ICAV,2021-01-06,C445272,,
FundRock UCITS Platform I ICAV,2021-02-05,C447841,,
Aramis ICAV,2021-02-11,C425200,,
Chord IP Holdings ICAV,2021-02-12,C447015,,
ZZ Quantitative Risk Premia ICAV,2021-02-15,C447678,,
Attestor Capital ICAV,2021-03-02,C448016,,
Vita Settlements Fund 5 ICAV,2021-03-09,C449611,,
REQ Capital UCITS ICAV,2021-03-10,C450159,,
UBS (Irl) Fund Solutions II ICAV,2021-03-19,C451354,,
Omba Investments ICAV,2021-03-19,C450204,,
EQMC ICAV,2021-03-31,C449592,,
Uni Immo Ireland IV ICAV,2021-04-06,C451356,,
AXA Global Private Debt Fund ICAV,2021-04-06,C451423,,
BIT Capital Master Fund ICAV,2021-04-09,C451773,,
BIT Capital Feeder Fund ICAV,2021-04-09,C451774,,
WIIV Ireland ICAV,2021-04-22,C451429,,
Global X ETFs II ICAV,2021-04-22,C453081,,
Ossiam IRL II ICAV,2021-04-28,C440113,,
Arch Investment ICAV,2021-05-07,C453372,,
AXA Global Infrastructure Equity ICAV,2021-05-07,C453373,,
SSG Credit Strategies XIII ICAV,2021-05-14,C453677,,
Payden Global AIF ICAV,2021-05-21,C451366,,
Marilla Capital (EU) ICAV,2021-05-21,C454878,,
Global UCITS Platform ICAV,2021-05-28,C455831,,
Paradigm Capital North America ICAV (in liquidation),2021-05-28,C454013,Yes,
Paradigm Capital North America Feeder ICAV (in liquidation),2021-05-28,C454018,Yes,
Shenkman Funds ICAV,2021-05-31,C455833,,
Shenkman Master Funds ICAV,2021-05-31,C455834,,
Kenure ICAV,2021-05-31,C455852,,
Nenfro ICAV,2021-05-31,C455897,,
Newton Investments ICAV,2021-06-18,C453636,,
Amundsen Diversified Master Fund ICAV,2021-06-18,C455742,,
Amundsen Diversified Feeder Fund ICAV,2021-06-18,C455743,,
OHA Credit Solutions II ICAV,2021-06-25,C457886,,
AFM Investments ICAV,2021-06-25,C457067,,
Sephira GEM UCITS ICAV,2021-06-25,C432690,,
Capitol Gardens ICAV,2021-07-16,C458669,,
NicheJungle ICAV,2021-07-16,C456365,,
KKR Multi-Asset Class Credit Platform ICAV,2021-07-29,C460225,,
Media Capital Partners ICAV,2021-08-13,C460405,,
Pearl Diver Capital ICAV (in liquidation),2021-08-20,C460923,Yes,
MFI ICAV,2021-08-20,C460933,,
Amundi ETF ICAV,2021-08-20,C461194,,Yes
Recognition Music Group ICAV,2021-08-20,C461417,,
Specialist Investment Funds (6) ICAV,2021-08-27,C462227,,
TabCap QIAIF ICAV,2021-09-07,C459986,,
Volare International UCITS ICAV,2021-09-07,C462226,,
Grundbesitz Global ICAV,2021-09-13,C462214,,
Heptagon Fund ICAV,2021-10-01,C67289,,
IXI ICAV,2021-10-04,C463901,,
KKR Multi-Asset Class ICAV,2021-10-04,C463956,,
Eminence Fund ICAV,2021-10-04,C463939,,
Pactum ICAV (in liquidation),2021-10-04,C463957,Yes,
Mayar Capital UCITS ICAV,2021-10-14,C453461,,
Quantum Ireland ICAV,2021-10-15,C464539,,
Global OPS Master Fund ICAV,2021-10-15,C460915,,
Global OPS Feeder Fund ICAV,2021-10-15,C460916,,
Avondale ICAV,2021-10-15,C460149,,
Kirkoswald Funds ICAV,2021-10-22,C466044,,
Kirkoswald Master Funds ICAV,2021-10-22,C466045,,
Celtic Investments ICAV,2021-10-28,C466019,,
Ignite Music ICAV,2021-11-02,C466109,,
AGL Credit Funds ICAV,2021-11-02,C458019,,
Cleaves Asset Management ICAV,2021-11-05,C464003,,
Portfolio Investment ICAV (in liquidation),2021-11-12,C466036,Yes,
abrdn III ICAV,2021-11-30,C469164,,
AXA IM ETF ICAV,2021-12-14,C469468,,Yes
AXA IM Strategies ICAV,2021-12-23,C469377,,
PPT UCITS (Ireland) ICAV (in liquidation),2021-12-23,C470672,Yes,
Generali Invest CEE Global Exposure ICAV,2022-01-06,C470705,,
Kwasa Emerald ICAV,2022-01-06,C470636,,
Stable Opportunities ICAV (in liquidation),2022-01-24,C471215,Yes,
Lansdowne UCITS ICAV,2022-01-24,C472736,,
Eureka Capital Partners UCITS ICAV,2022-01-24,C472734,,
LGT Multi-Alternatives Platform ICAV,2022-03-08,C474984,,
Estela Capital ICAV,2022-03-08,C474915,,
ECP UCITS ICAV,2022-03-29,C475895,,
VP Capital Ireland ICAV,2022-04-11,C475059,,
Carmignac Alts ICAV,2022-04-11,C475684,,
Seior Capital ICAV (in liquidation),2022-04-22,C488974,Yes,
Clean Energy Transition Master ICAV,2022-04-22,C476310,,
Grain Platform ICAV,2022-04-25,C475841,,
Fidelity QIAIF ICAV,2022-04-25,C477129,,
CIRCA5000 ICAV,2022-05-12,C491100,,
Apex UCITS Global ETF Platform ICAV,2022-05-13,C492576,,Yes
TA Associates QIAIF ICAV,2022-05-18,C490633,,
GoldenTree PC Fund ICAV,2022-05-23,C490593,,
HEPP ICAV,2022-05-23,C477122,,
ASK Investment Funds ICAV,2022-05-23,C492688,,
Waystone Shelbourne QIAIF Platform ICAV,2022-06-02,C490594,,
Maples Platform ICAV,2022-06-02,C491258,,
Man Funds XVI ICAV,2022-06-02,C492701,,
Aryabhata Global Assets Funds ICAV,2022-06-16,C494306,,
RealISInvest Europa ICAV,2022-06-20,C492983,,
HarbourView Equity I ICAV,2022-06-30,C492534,,
DME Ireland ICAV,2022-07-13,C494224,,
Investlinx ICAV,2022-07-13,C494926,,
Findlay Park Funds ICAV,2022-07-18,C23386,,
BNP PARIBAS EASY ICAV,2022-07-19,C496041,,
Horizon Kinetics ICAV,2022-07-26,C496409,,
Elkstone Alternatives Master ICAV,2022-07-26,C494263,,
Elkstone Alternatives Feeder ICAV,2022-07-26,C494261,,
KKR Ireland Platform ICAV,2022-08-22,C496962,,
EAMC ICAV,2022-08-22,C498401,,
WPEF IX Feeder 2 ICAV,2022-08-22,C496336,,
WPF I Feeder 2 ICAV,2022-08-22,C496337,,
MFI II ICAV,2022-08-30,C493142,,
Fortress ICAV,2022-08-30,C498307,,
FundRock QIAIF Platform I ICAV,2022-09-07,C498364,,
DCP Holdings ICAV,2022-09-09,C498521,,
Monroe Capital Master II ICAV,2022-09-27,C498851,,
UWC Endowment Fund ICAV,2022-09-27,C500105,,
Blantyre Capital ICAV,2022-09-28,C500110,,
SSG Credit Strategies XIV ICAV,2022-09-28,C496411,,
Lodur Capital ICAV,2022-10-10,C500417,,
Cervus Secured Solutions ICAV,2022-10-12,C500092,,
Universal Investment Ireland UCITS Platform ICAV,2022-10-17,C501932,,
CCA Life Settlements Fund IV ICAV,2022-10-25,C500201,,
New Wave One ICAV,2022-11-25,C503494,,
Asset Management Exchange UCITS ICAV,2022-11-25,C504030,,
Baron Capital UCITS ICAV,2022-11-28,C504037,,
Kilbarron ICAV,2022-11-28,C503512,,
Edge Aviation ICAV,2022-12-13,C503483,,
PrimeStone Capital Fund II ICAV,2022-12-14,C503488,,
MetLife Investment Management UCITS ICAV,2022-12-22,C505721,,
Viking Structured Capital ICAV,2022-12-23,C504518,,
Ares Senior Credit ICAV,2023-01-18,C506245,,
Ares Senior Credit (U) ICAV,2023-01-18,C506246,,
NC Funds ICAV,2023-01-23,C507128,,
PIMCO SpecFIn ICAV,2023-01-24,C507498,,
SYQUANT ICAV,2023-01-30,C507481,,
Perseverance Asset Management ICAV,2023-01-30,C507943,,
Polaris PPU Master Fund ICAV,2023-01-31,C508045,,
Polaris PPU Feeder Fund ICAV,2023-01-31,C508046,,
Polen Capital Funds ICAV,2023-01-31,C506287,,
Oakmount Capital ICAV,2023-02-28,C508250,,
AlphaFusion Global Opportunities Master Fund ICAV,2023-02-28,C509760,,
Lightrock UCITS ICAV,2023-03-22,C511266,,
Orion Resource Partners ICAV (Previously Orion Resource UCITS,2023-03-30,C511648,,
4010 Royalty Investments ICAV,2023-03-31,C511183,,
HMC Capital ICAV (in liquidation),2023-04-05,C511262,Yes,
CCA Life Settlements Fund V ICAV,2023-04-14,C511707,,
LGT Funds Platform ICAV,2023-04-26,C513385,,
MIO Evergreen Master Fund ICAV,2023-05-05,C513935,,
MIO Evergreen Fund ICAV,2023-05-05,C513933,,
Comvest Credit Partners VII ICAV,2023-05-15,C513947,,
Royalty Pharma Investments 2023 ICAV,2023-05-16,C513931,,
Man Funds 3707 ICAV,2023-06-01,C510775,,
Dunmore Alternative Multi-Manager ICAV,2023-06-15,C515658,,
AlphaFusion Global Opportunities Fund ICAV,2023-06-19,C515724,,
TCP PE VI ICAV,2023-06-26,C516665,,
WHCO INVESTMENTS A HOLDINGS ICAV,2023-06-28,C515732,,
WHCO INVESTMENTS 1-B HOLDINGS ICAV,2023-06-28,C515729,,
onemarkets Italy ICAV,2023-07-11,C517483,,
ETF Willow ICAV,2023-08-14,C521118,,Yes
Connect ETFs ICAV,2023-08-24,C521236,,
MIO Private Investments ICAV,2023-08-29,C521188,,
MIO Private Investments Master ICAV,2023-08-29,C521187,,
Lloyd's Investment Platform ICAV,2023-08-29,C519297,,
BlackRock Liability Solutions Funds IV (Dublin) ICAV,2023-08-29,C521127,,
WPEF VII Feeder 2 ICAV,2023-10-10,C521102,,
WPEF VI Feeder 2 ICAV,2023-10-10,C521101,,
RenaissanceRe Medici ICAV,2023-10-19,C524445,,
Select Equity Group UCITS ICAV,2023-10-19,C524446,,
Clearway Capital Partners ICAV,2023-10-20,C523208,,
eNova ICAV (prev HAL UCITS ICAV),2023-11-09,C525514,,
Blue Diagonal Investment Funds ICAV,2023-11-13,C524852,,
Bridge UCITS Funds ICAV,2023-11-17,C136259,,
Premium Selection QIAIF II ICAV,2023-11-21,C525232,,
Perpetual Investment Services Europe ICAV,2023-11-30,C26082,,
HSBC Global Funds II ICAV,2023-12-01,C526924,,
Aktia UCITS ICAV,2024-01-18,C530135,,
LSI Financing ICAV,2024-01-18,C528408,,
Alpha Wave Private Credit ICAV,2024-01-30,C530125,,
CG Portfolio Fund ICAV (previously plc),2024-02-08,C30209,,
Petrus Advisers Master ICAV,2024-02-28,C530795,,
Petrus Advisers Feeder ICAV,2024-02-28,C530796,,
MetLife Investment Management AIF ICAV,2024-02-28,C528507,,
ICP Asset Management UCITS ICAV,2024-02-28,C533275,,
Montrusco Bolton Investments UCITS ICAV,2024-03-06,C533376,,
XYQ Ireland ICAV,2024-03-22,C533828,,
American Century ICAV,2024-03-26,C535116,,
EAM QIAIF ICAV,2024-03-26,C533508,,
EAM UCITS ICAV,2024-03-26,C534631,,
BXLS VI ICAV,2024-04-15,C535254,,
Newton Global Investments I ICAV (in liquidation),2024-04-24,C535125,Yes,
Hejaz UCITS ICAV,2024-04-30,C536979,,
Covale UCITS ICAV,2024-05-21,C539032,,
Rockaway Capital Fund ICAV,2024-05-27,C539006,,
BXD-T ICAV,2024-06-04,C539162,,
EDGE Aviation Feeder ICAV,2024-07-03,C539012,,
HGV ICAV,2024-07-03,C540205,,
Millennium Investments Fund (Ireland) ICAV,2024-07-04,C541011,,
Global Alternative Investment Opportunities ICAV,2024-07-17,C539107,,
Swisscanto (IE) ESGeneration ETF ICAV,2024-07-19,C542618,,Yes
Royalty Pharma Investments 2024 ICAV,2024-07-25,C541380,,
WPEF VIII Feeder ICAV,2024-07-26,C542634,,
Coatue ICAV,2024-08-16,C543137,,
Alpha Alternative Strategies ICAV,2024-08-29,C543162,,
COF V ICAV,2024-09-06,C545207,,
Savex QIAIF ICAV,2024-09-09,C542926,,
MetLife Investment Management RIAIF ICAV,2024-09-11,C542986,,
HBC ICAV,2024-09-24,C545576,,
PGIM Fixed Income Private Credit Fund ICAV,2024-09-25,C544749,,
Athena Capital ICAV,2024-10-03,C545793,,
Pandion ICAV,2024-10-11,C545221,,
Morgan Stanley ETF ICAV,2024-10-15,C546445,,Yes
Fearnley Asset Management ICAV,2024-10-16,C541435,,
Alba Investment Partners ICAV,2024-10-30,C546779,,
Gaia ICAV,2024-11-04,C547799,,
Cercano Global Access ICAV,2024-11-12,C548324,,
Hayfin ICAV,2024-11-19,C548463,,
GoldenTree PC Fund II ICAV,2024-11-19,C548312,,
Sound Point ICAV,2024-12-05,C549820,,
Atrato Private Funds ICAV,2024-12-16,C550771,,
Schroder ETFs ICAV,2024-12-20,C550267,,
ISHIF ICAV,2025-01-02,C551708,,
Ellida Alpha Machines Feeder Fund ICAV,2025-01-02,C551453,,
Bay Capital ICAV,2025-01-15,C553333,,
Palmer Square UCITS ICAV,2025-01-20,C549864,,
Nordea ETF ICAV,2025-01-22,C551913,,Yes
PGIM Investments QIAIF ICAV,2025-02-12,C553655,,
Royalty Pharma Investments 2011 ICAV,2025-02-18,C553695,,
Oquendo Senior Secured Debt III ELTIF ICAV,2025-02-18,C534765,,
ETF Platform ICAV,2025-03-04,C555345,,Yes
Arcano Private Credit ICAV,2025-03-11,C553914,,
Atlantic House UCITS ICAV,2025-03-20,C553577,,
Sarda Alternatives ICAV,2025-04-14,C559164,,
ARK ELTIF ICAV (prev ARK Fund ICAV),2025-04-28,C559202,,
Alpha Omni Funds ICAV,2025-05-07,C559481,,
RBC Wealth Management Funds ICAV,2025-05-13,C559473,,
Agama ICAV,2025-05-14,C556986,,
Shenkman Private Credit Master Fund I ICAV,2025-05-20,C559494,,
Russell Investments UCITS ICAV,2025-05-26,C561441,,
Oquendo Financing Solutions ELTIF ICAV,2025-05-28,C561349,,
Alteralia Debt Umbrella ELTIF ICAV,2025-06-26,C563727,,
CQS Global Funds III ICAV,2025-07-07,C563300,,
HORIZON ICAV,2025-07-11,C563963,,
Tobar Global Investment Funds ICAV,2025-07-16,C563919,,
Spur Value Partners QIAIF ICA,2025-07-29,C563439,,
Orchard European Lending Fund I ICAV,2025-07-29,C565271,,
OHA Credit Solutions III ICAV,2025-07-30,C563938,,
Oquendo Direct Lending ELTIF ICAV,2025-08-01,C565607,,
LUMOS QIAIF ICAV,2025-08-01,C565599,,
Fineco AM Private Solutions ICAV,2025-09-09,C563908,,
Arcano Direct Lending ICAV,2025-09-22,C568043,,
Manulife Investment Management III Institutional ICAV,2025-09-24,C567473,,
Muzinich Pan-European Senior Private Debt ELTIF-ICAV,2025-09-30,C569087,,
TirNua Feeder ICAV,2025-10-06,C569382,,
Waystone Alternative Solutions ICAV,2025-10-14,C569615,,
Fineco AM Bespoke Solutions ICAV,2025-10-14,C569016,,
Winton M&G Trend Fund ICAV,2025-10-15,C569455,,
The Old Masters Fund ICAV,2025-10-22,C570344,,
Solas Sustainable Energy Fund II ICAV,2025-10-23,C569808,,
MAG Funds ICAV,2025-10-29,C570786,,
Kenta Capital Financiación Empresas II ICAV,2025-11-17,C571491,,
Minerva Strategic Series Fund ICAV,2025-11-17,C571482,,
AlbaCore Capital Group II Feeder ICAV,2025-11-27,C573171,,
AlbaCore Capital Group II ICAV,2025-11-27,C573170,,
Ireland ETF Solutions ICAV,2025-12-10,C574580,,Yes
Sona Funds ICAV,2025-12-10,C573576,,
Ireland UCITS ETF ICAV,2025-12-10,C574587,,Yes
Guinness Asset Management ETFs ICAV,2025-12-17,C574645,,
KL European Solutions ICAV,2026-01-07,C574813,,
TriaXial ICAV,2026-01-07,C574771,,
Universal Investment Ireland UCITS ETF ICAV,2026-01-09,C575183,,Yes
BXD Series II ICAV,2026-01-14,C575179,,
VAIL ICAV,2026-01-21,C575247,,
BlueDot UCITS ICAV,2026-01-26,C576605,,
HOLD UCITS ICAV,2026-01-28,C576627,,
Compass COSS Master ICAV,2026-02-03,C567887,,
EPIC AIF ICAV,2026-02-04,C576042,,
ORCA Funds ICAV,2026-02-11,C576919,,
TabCap Liquid UCITS ICAV,2026-02-12,C576950,,
Attestor Capital Alternative Strategies ICAV,2026-02-19,C576830,,
TAIGA UCITS ICAV,2026-02-19,C577159,,
Taiga Investment Funds ICAV,2026-03-02,C577077,,
Symbit Master ICAV,2026-03-13,C578759,,
Quantic Lease Finance ICAV,2026-03-19,C573533,,
Invisage Capital UCITS ICAV,2026-03-30,C580144,,
